대분류,중분류,소분류,툴팁원문,가입가능금액
암,암 진단,통합암,"암으로 진단되었을 때 약관에서 정한 암의 종류에 따라 한 번씩 보장해 드려요. 예를 들어, 위암으로 진단을 받아 보험금을 받은 후 나중에 폐암이 진단된다면 폐암에 대해서도 또 한 번 보험금을 드려요. (전이된 암에 대해서도 보장되지만, 암의 종류가 같으면 한 번만 보험금을 드려요.) ※ 특약명 : 통합암(전이포함)진단특약","미가입/1,000만원/1,500만원/3,000만원"
암,암 진단,통합소액암,"중증 이외의 갑상선암, 초기 유방암, 기타 피부암 등 약관에서 정한 소액암으로 진단되었을 경우는 통합암 보장금액의 20% 이내를 보험금으로 드려요. 통합암 보장과 마찬가지로 암의 종류가 다르면 다시 보장받을 수 있어요. ※ 특약명 : 통합소액암진단특약",미가입
암,암 진단,일반암,암으로 진단되었을 때 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 암진단특약,"미가입/1,000만원/1,500만원/3,000만원"
암,암 진단,"소액질병(초기 유방암, 중증 이외 갑상선암 등)","중증 이외의 갑상선암, 초기 유방암, 기타 피부암 등 약관에서 정한 소액질병으로 진단되었을 경우는 일반암 보장금액의 20% 이내를 보험금으로 드려요. (각 최초 1회 보장) ※ 특약명 : 소액질병보장특약","200만원 월 1,560원"
암,암 치료,암 통합 치료,"암 관련 검사, 수술, 방사선·약물치료, 재활에 대해 보험금을 드려요. 가입금액은 1년 동안 받을 수 있는 보험금의 최대 한도에요. (보험가입일 기준 매 1년마다 1회 보장, 재활의 경우 매 1년마다 20회까지 보장, 수술의 경우는 수술 1회당 보장) ※ 특약명 : 암통합치료(종합병원이상)특약","미가입/5,000만원/8,000만원"
암,암 치료,암 통합 치료(비급여포함),"건강보험 적용 대상이지만 투여 기간, 횟수 등을 초과하여 진료비를 전액 부담하였거나, 비급여(건강보험 제외 대상) 진료를 받은 암 수술, 방사선·약물치료에 대해 보험금을 드려요. 가입금액은 1년 동안 받을 수 있는 보험금의 최대 한도에요. (보험가입일 기준 매 1년마다 1회 보장, 수술의 경우는 수술 1회당 보장) ※ 특약명 : 전액본인부담(비급여포함)암통합치료(종합병원이상)특약","미가입/5,000만원/8,000만원"
암,암 치료,암 치료,"암 최초 진단 확정일로부터 10년동안 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 암직접치료보장특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 치료(소액암),"갑상선암 혹은 기타피부암 최초 진단 확정일로부터 10년동안 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 갑상선암및기타피부암직접치료보장특약",미가입/100만원/200만원
암,암 치료,암 상급병원 치료,"암 최초 진단 확정일로부터 10년동안 상급종합병원에서 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 상급종합병원플러스암직접치료보장특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 상급병원 치료(소액암),"갑상선암 혹은 기타피부암 최초 진단 확정일로부터 10년동안 상급종합병원에서 치료를 목적으로하는 수술, 방사선·약물 치료에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 상급종합병원플러스갑상선암및기타피부암직접치료보장특약",미가입/100만원/200만원
암,암 치료,암 복합 치료,"암 관련 수술, 항암방사선, 항암약물, 중환자실 치료 중 연간 치료 횟수가 2회 이상인 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 암복합치료(종합병원이상)특약","미가입/100만원/500만원/1,000만원"
암,암 치료,암 복합 치료(소액암),"소액암 관련 수술, 항암방사선, 항암약물, 중환자실 치료 중 연간 치료 횟수가 2회 이상인 경우 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 소액암복합치료(종합병원이상)특약",미가입/100만원/200만원
암,암 치료,항암 약물 치료,암의 직접적인 치료를 목적으로하는 항암 약물 치료에 대해 보험금을 드려요. (일반암/기타피부암/갑상선암 각각 최초 1회 보장) ※ 특약명 : 항암약물치료특약,"미가입/1,000만원/1,500만원/3,000만원"
암,암 치료,항암 방사선 치료,암의 직접적인 치료를 목적으로하는 항암 방사선 치료에 대해 보험금을 드려요. (일반암/기타피부암/갑상선암 각각 최초 1회 보장) ※ 특약명 : 항암방사선치료특약,"미가입/1,000만원/1,500만원/3,000만원"
기타,프리미엄 암 치료,암 고액 치료(8종),최소 절개로 정밀한 수술이 가능한 다빈치로봇수술 등 암 고액 치료 8종에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 프리미엄암직접치료보장특약,"미가입/100만원/500만원/1,000만원"
기타,프리미엄 암 치료,암 고액 치료(3종),최소 절개로 정밀한 수술이 가능한 다빈치로봇수술 등 암 고액 치료 3종에 대해 보험금을 드려요. (진단 확정일로부터 매 1년마다 1회를 한도로 최대 10회까지 보장) ※ 특약명 : 프리미엄클래스암특정치료보장특약,"미가입/100만원/500만원/1,000만원"
기타,프리미엄 암 치료,항암 중입자 치료,정상 조직 손상을 최소화하는 항암중입자 치료에 대해 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 항암중입자방사선치료특약,"미가입/1,000만원/3,000만원/5,000만원"
기타,프리미엄 암 치료,항암 표적 약물·방사선 치료(리간드 치료 등),암세포만 선택적으로 파괴하는 표적 항암 약물 치료 또는 특정 표적 방사선 치료(리간드 치료 등)에 대해 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 표적항암약물·특정표적방사선허가치료특약,"미가입/8,000만원"
기타,프리미엄 암 치료,암 진단 및 정밀 치료(비급여 포함),"암으로 진단되었을 때 보험금을 드려요. (최초 1회 보장) 추가로 건강보험 적용 대상이지만 투여 기간, 횟수 등을 초과하여 진료비를 전액 부담하였거나, 비급여(건강보험 제외 대상) 진료를 받은 특정 방사선/약물 치료에 대해서도 보험금을 드려요. (보험가입일 기준 매 1년마다 1회 보장) ※ 특약명 : 암진단및전액본인부담(비급여포함)암특정치료(종합병원이상)특약","미가입/2,000만원"
뇌·심장,뇌·심장 진단,뇌혈관질환,"뇌경색, 뇌출혈 등 뇌혈관질환으로 진단되었을 경우 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 뇌혈관질환진단특약","미가입/500만원/1,000만원/2,000만원"
뇌·심장,뇌·심장 진단,심장질환,"협심증, 심근경색 등 심장질환으로 진단되었을 경우 보험금을 드려요. (최초 1회 보장) ※ 특약명 : 허혈성심장질환진단특약","미가입/500만원/1,000만원/2,000만원"
